,cohen_d
266,-3.9786654764761056
267,-3.5092804039698553
268,-3.9395270726806224
269,-3.144837545164671
270,-0.9467186190750394
271,-3.9609470367034048
272,-3.4868647985651258
273,-1.0047473398435367
274,2.598848176639147
275,-3.8374403683620426
276,-2.7307890832267705
277,-4.747612862279423
278,-3.8320694649903273
279,-2.174361315246906
280,-4.244463160186341
281,0.8276453073023048
282,-1.6240608334922135
283,1.2977535810057494
284,-2.4262385686419883
285,-3.7441182914944724
286,-2.455198590242621
287,-3.636810396466269
288,-5.103615484347849
289,-5.105412637131107
290,-1.5193371174120682
291,-2.5250148836817283
292,-0.7741655301539423
293,-3.7618424103174832
294,-4.084862923765558
295,-3.128842657699217
296,-1.3237649997576044
297,-3.6604624479883783
298,-4.856896897300094
299,0.6065940738885988
300,-3.6456835572932724
301,-2.5114831093545424
302,-3.9743552056633193
303,-2.586151783858527
304,-3.4355178596293117
305,-2.4893679459337608
306,-6.065116503686662
307,-4.447573668845203
308,-4.084399633409935
309,-5.049677948917769
310,-3.3308329192758634
311,-4.243117375028608
312,-1.721638583892578
313,-1.9554467855550777
314,-3.665558474115835
315,-3.1549451999197027
316,-3.649388371201307
317,-3.492650114084852
318,-3.774914909843743
319,-0.32610162796516523
320,-1.9952447510158353
321,-4.215730730320313
322,-4.627034426956808
323,-4.264613975851016
324,-3.718516399300316
325,-5.049593914217088
326,-3.0546131089936686
327,-1.6778213950544554
328,-4.789792360780235
329,-3.752551425188782
330,-3.415482100987966
331,-2.838219772650759
332,-4.898794405801278
333,-2.729112836611872
334,-3.437565846494627
335,-2.1818844314243386
336,-3.09301454273836
337,-3.753584801190192
338,-3.609712680178055
339,-4.581259461250762
340,-0.9794881986117542
341,-4.43033212186391
342,-2.340267153394471
343,-3.98879986060815
344,-2.709916694274445
345,-0.3569556289783934
346,-4.460409024026936
347,-3.8480007208598694
348,-3.675717518957498
349,-2.8238649570076797
350,-4.567658968434549
351,-3.927535971636313
352,-4.066961778981978
353,0.1896684962872758
354,-3.73959231072737
355,-2.5285314859883896
356,-3.372400379687775
357,-3.4583055791515513
358,-2.3919536326241086
359,-3.1480159094064826
360,-3.42957960960193
361,-0.2015200731483021
362,-3.489307735677698
363,-3.9859423258093516
364,-5.094596948174228
365,-5.863822534537697
366,-3.4637170017744667
367,-4.520301537287946
368,-3.808481725511416
369,-3.952749995001922
370,-2.56830204683665
371,-2.390059382915045
372,-4.580315043455572
373,-0.46546669013917075
374,-3.5843688539816516
375,-3.992684254279771
376,-2.6367699607328996
377,-2.8538040144671037
378,-3.7179006289645646
379,-3.8865698762604537
380,-1.17965500330548
381,-0.8249484874656396
382,-5.269787843237015
383,-2.4718929656058903
384,-4.968713330294106
385,-4.748304662860933
386,-3.7779509303675396
387,-2.4252180221952164
388,-0.014268718980801611
389,-4.208986435174421
390,-4.284635157122238
391,-4.684885460905003
392,-6.0711117322433825
393,-4.03528384031172
394,-2.944148970791951
395,0.1931506491113589
396,-2.633805886485904
397,-2.752625032272425
398,-5.665034234686595
399,-5.090529840902391
400,-1.5251391652345643
401,-4.506699818475602
402,-3.5110104134393394
403,-2.6018802953073923
404,-2.5561664728993523
405,-1.3496103147797185
406,-4.323163645617577
407,-2.5554025297607925
408,-2.546172815478256
409,-3.708592204151115
410,-2.332071417643157
411,-4.537238409048028
412,-4.833314078627695
413,-3.547926937734801
414,-3.1903741604726004
415,-3.9813795643665704
416,-4.939912226977034
417,-3.9196174879793158
418,0.660692596962993
419,-2.5828416409211266
420,0.7613520855524045
421,-3.8291731486207214
422,-2.323437348218178
423,-4.039716042130855
424,-4.6417298305739
425,-4.852714781452404
426,-3.640238562195173
427,-4.786259195537056
428,-3.961143689701939
429,-4.299240634054578
430,-1.3479735720269639
431,-2.7211581931310724
432,-3.0078954867471563
433,-3.0965888588661454
434,-5.176976592397353
435,-1.1407326864789251
436,-1.6426409906954786
437,-3.9263337495463846
438,-2.9089611918538063
439,-3.8879424507955953
440,-3.5938651135812094
441,-2.73306217131412
442,-3.2896505033089154
443,-2.7625323145857745
444,-1.7090456433596033
445,-3.7827073129749205
446,-4.669431828246275
447,-0.5706570069621405
448,-3.585865749252401
449,-3.0132698398740603
450,-3.922767808975906
451,-3.3017077346890256
452,-4.14152324090142
453,-4.750281390210909
454,-3.5279627014231725
455,-3.793168235521697
456,-2.986546294361642
457,-3.0649943301548856
458,-0.2141515703281802
459,-2.1014687413658826
460,-4.142750226160729
461,-3.496948917948437
462,-2.265862764173419
463,-3.4293507827954426
464,-1.9009706651324023
465,-3.6151417350582937
466,-2.5436627439978046
467,-4.259668110245085
468,-2.7015699946836684
469,-4.41438777779065
470,-2.58931577218514
471,-3.2465313181849464
472,-3.3895574658607917
473,-1.8581415735336693
474,-1.3712557027368575
475,-0.6457177954900379
476,-4.54899309411195
477,-3.2760572658622085
478,-2.557954562051018
479,-3.4062255999361812
480,-3.4553103948843327
481,-1.0515397067804246
482,-3.163038059361062
483,-5.0349186336467655
484,-5.85191587042749
485,-3.755633810475858
486,-0.758275311876288
487,-3.893974507606351
488,-3.8133676176094204
489,-2.7576160856179532
490,-3.194945501851731
491,-3.7922988880583617
492,-1.5438692879076115
493,-1.6186843610030142
494,-4.576654974708899
495,-5.156479418034629
496,-2.6603024222699383
497,-4.889787721526775
498,-3.7650728441930914
499,-2.4313905873002013
500,-1.5079668005813487
501,-3.536181978267888
502,-3.5906024460217685
503,-5.398341937076092
504,-2.5194887548639304
505,-6.00845148518519
506,-3.6679854974140995
507,0.19887528463115825
508,-2.06469089500933
509,-3.937160278176587
510,-1.7107581754907089
511,-3.6590968297528037
512,1.4138610175311428
513,-3.719651662287197
514,-2.9437923590781523
515,-4.867823580333813
516,-1.6924721736606931
517,-2.566233793433407
518,0.4560896691184255
519,-2.9133908127303476
520,-1.6234398658218792
521,-3.7638069087983963
522,-3.1037086591148477
523,-3.899107178574527
524,-2.60611618182135
525,-4.944636501307396
526,-1.7711486141123378
527,-2.1959944691268074
528,-2.37026607283959
529,-1.7869658109291326
530,-4.832464960375625
531,-5.434111820935393
532,-3.162964003415339
533,-2.0371949639473486
534,-4.180774572016062
535,-3.8534297744623993
536,-4.0662563561792515
537,-3.0566365032058274
538,-4.788920278351598
539,-5.21301025263415
540,-2.0754517497080562
541,-2.390828776880971
542,-2.500656679163776
543,-5.5013250480036895
544,0.19064629070827555
545,-0.6526625971972544
546,-3.0658728285121404
547,-2.6161595123526786
548,-2.689228937780115
549,-2.3360378541316846
550,-2.2727145902828383
551,-4.505178910742897
552,-3.7959499886262353
553,-3.0114485813282252
554,-2.861053072356789
555,-4.8225259244157455
556,-4.049941014527072
557,-3.715750261370108
558,-3.6174995941864654
559,-1.9421411915784272
560,-0.45286091411640533
561,-4.083987252137086
562,-2.7905516502907837
563,-2.5197843377285114
564,-4.542265792343654
565,-2.7257058007765345
566,-3.996805735828184
567,-4.034136931072414
568,-0.30831133036680536
569,-3.0663558860564875
570,-1.8734233090131265
571,-3.1178756767429663
572,-2.807095116429369
573,2.2541332035567536
574,-2.410460932931757
575,-3.2810308503790346
576,-1.9691797299683347
577,-1.5611606439121948
578,-1.653084574360764
579,-2.8634079499490603
580,-4.510462640605588
581,-3.617149701057158
582,-3.958238778929975
583,-4.915124743871407
584,-1.4977258243346243
585,-1.2168214170305536
586,-0.6282973736019034
587,-2.2774842740053187
588,-4.282480929595524
589,-5.2750208467731845
590,-2.981135598944294
591,-3.31959484065349
592,-3.722380939419124
593,-3.2027400266051615
594,-2.731151882365028
595,-3.6285868165472577
596,-3.8331615083018376
597,-4.937286655706996
598,-3.7788922556126985
599,-0.4655229296761571
600,-4.044346679402183
601,-3.4428452663680345
602,-3.047780200634091
603,-2.222251887392494
604,-4.508877242097263
605,-3.8913685756743197
606,-2.8792829321473534
607,-2.4153428960862966
608,-3.23298628019591
609,-3.2542222891283106
610,-2.9942808187151133
611,-3.4334135506985426
612,-2.572260875921857
613,-3.558835171698948
614,-3.12370232752894
615,-4.861610685970374
616,-4.062233604958986
617,-4.409446835124372
618,-3.1584257752041487
619,-2.066218542367858
620,-4.109267779415942
621,-4.436989983476915
622,-3.9607746264144232
623,-6.362700312105457
624,-3.893266691288909
625,-4.639994682110556
626,-2.475846974232283
627,-4.5097845322166785
628,-3.028302075767662
629,-2.462542091468298
630,-4.563054306608997
631,-2.0180807220611072
632,-3.070666726065606
633,-3.6241613488663376
634,-2.3072506502258507
635,-3.509797682027063
636,-4.571489690474539
637,-1.950562936905219
638,-4.344777634525815
639,-2.743764464004178
640,-3.5599965190189224
641,-1.5365837566651068
642,-5.10606216917984
643,-3.246017852625053
644,-4.341692806925837
645,-2.4572986124226586
646,-2.7668179045613086
647,-3.552765263703234
648,-4.48821463717358
649,-4.787380723636648
650,-4.11621089699743
651,-3.254277911037991
652,-4.327991306602611
653,-2.7781167841889722
654,-3.633013836468683
655,-0.759999369537054
656,-2.5749799331372762
657,-3.8438152827789027
658,-2.499935494825605
659,-3.213456712376901
660,-1.5331692573749707
661,-2.1760370409797063
662,-1.453768794178932
663,-3.0476916895670514
664,-1.7587508197627861
665,-3.214345270523072
666,-4.016707878668897
667,-6.29864094605127
668,-3.213713827923766
669,-0.9546405352328918
670,-5.339665105391983
671,-4.020011879517668
672,-3.351085429223808
673,-3.7993202742520302
674,-2.381013788264276
675,-3.1773493450455637
676,-3.8368346661543153
677,-3.5293337929835
678,0.881367498722307
679,-3.8109611419430474
680,-3.4310230978825933
681,-2.45652986012471
682,1.3475891082567153
683,-2.7053398486645466
684,-2.9241501258690277
685,0.13666120388220987
686,-3.313105112120931
