index,cohen_d
1580,3.495733722607789
1249,3.4482859255573035
3022,3.092742404624111
3179,2.7291869632001564
2536,2.701903088852572
274,2.598848176639147
2101,2.5334749375015657
573,2.2541332035567536
2267,2.08441653416004
1716,2.0718674509678623
186,2.0661622969870024
1751,2.0117070829477037
3650,1.96519320488651
2768,1.934315906499956
1177,1.8022278416817197
1960,1.7510703501427705
4052,1.723655756871838
2978,1.6683752652544026
1874,1.6637901796742314
2370,1.597628305902857
2349,1.576794905309229
256,1.5712160968358306
907,1.4918192123916272
512,1.4138610175311428
3893,1.4126542790230263
2120,1.3501474159579123
682,1.3475891082567153
283,1.2977535810057494
1581,1.2543371700377297
3445,1.2009614951251326
2484,1.186092210059642
1099,1.159956286408075
2257,1.1406280597940073
1424,1.1071308861241385
1711,1.1035259765660823
1540,1.0927492307010067
3195,1.0782434560193823
721,1.0664914524559956
1098,1.0475556240929609
1333,1.0396280060470786
868,0.9838716264198254
2534,0.9767193097838086
2831,0.9723197173185112
853,0.9372928374531676
251,0.8960357953415062
678,0.881367498722307
2686,0.8669299046673776
898,0.852845885523261
1007,0.8296301393143019
281,0.8276453073023048
2941,0.8130485790419612
3872,0.7877071284831006
2117,0.7613787945444739
420,0.7613520855524045
3540,0.7590922964831538
1788,0.7512799043728837
2818,0.673811021897735
3957,0.6698424519859357
418,0.660692596962993
120,0.6603963854332489
2075,0.6298024134063924
3938,0.577108410737369
2111,0.5553014505452056
2016,0.5441639459194474
2219,0.5237649717821833
770,0.5232491901088315
4024,0.5165502839626717
1067,0.507055086153149
2081,0.4961328401455902
3275,0.4859185483494428
2274,0.4821478591304839
1248,0.4734777760938612
939,0.4680114722127361
2066,0.4642160747792886
872,0.4281120775898931
2810,0.4202043005162806
12,0.4184295107633474
3545,0.4127365327661718
1997,0.3955768064962885
142,0.3865164370241903
157,0.3737730827960637
1309,0.3591334789157787
2756,0.3528845618715557
1405,0.3290708713808717
1298,0.3217355557996659
1787,0.3077969305250361
3997,0.3074928959600922
1115,0.2930571555849737
3750,0.2873826432339141
1202,0.2769280775770968
2711,0.2718550577310594
1908,0.2640577502391601
2054,0.2337585191356311
1000,0.2302435343934354
78,0.2282462169119064
2700,0.2194813725249699
3469,0.2165327942996783
196,0.2075082382448932
962,0.2010602895662233
507,0.1988752846311582
395,0.1931506491113589
544,0.1906462907082755
353,0.1896684962872758
1288,0.1711712241487703
884,0.1533394400658176
685,0.1366612038822098
1368,0.1227023643446241
3506,0.111156159597593
2399,0.1078939347370292
3721,0.0902451016041634
909,0.0874188330450902
812,0.0766756503214769
1504,0.0722554178486375
2164,0.0633925074498746
2519,0.0440898828762416
1617,0.0335873509398396
2738,0.0300052736043757
3573,0.0074694433015582
1417,0.0030641684540684
3085,0.0018153785820234
