index,cohen_d
932,-4.141748181609941
452,-4.14152324090142
3992,-4.133362985613546
650,-4.11621089699743
561,-4.083987252137086
536,-4.066256356179252
3707,-4.063118574473459
3660,-4.047925484066512
2530,-4.045582791533166
2041,-4.039138068266605
3728,-4.03777096203383
103,-4.021760792938522
3177,-4.020649651255391
1786,-4.018146224444743
751,-4.010212450422146
1893,-4.0096853583277055
1185,-4.008660412860185
2769,-3.9996886134620326
1336,-3.996495265937981
375,-3.992684254279771
1828,-3.98538817471856
2596,-3.982674992931328
302,-3.9743552056633193
2282,-3.97035701918077
182,-3.969906374521624
2298,-3.969086511449026
964,-3.96619224060754
3095,-3.962002147816338
3360,-3.9522237609351034
3643,-3.952056111110615
3327,-3.941736718338723
2906,-3.9404844356111086
1243,-3.9376817538020448
998,-3.9347710831978406
351,-3.927535971636313
450,-3.922767808975906
3791,-3.921109175812592
1983,-3.917687344420009
523,-3.899107178574527
1733,-3.892603097870648
2651,-3.89250814227193
605,-3.89136857567432
3923,-3.890379507593268
729,-3.886117012500197
757,-3.883612746782031
2228,-3.8780007319740393
2997,-3.870735322322336
1818,-3.8679414982364486
1235,-3.865540361860569
1269,-3.8482483691484215
347,-3.848000720859869
3082,-3.838171030598548
275,-3.8374403683620426
278,-3.8320694649903273
2860,-3.831084761557352
984,-3.824574243907948
4088,-3.8150633572143926
2179,-3.8115795858216592
72,-3.80327445385915
552,-3.7959499886262353
4075,-3.793695907452626
3280,-3.787462875616823
445,-3.782707312974921
3981,-3.769804100473247
992,-3.769129667691872
3477,-3.7664185803185406
2297,-3.7652008718867696
1718,-3.765046608508267
521,-3.763806908798396
1796,-3.757988420068288
2346,-3.7578600819526735
337,-3.753584801190192
178,-3.74650128836069
354,-3.73959231072737
3513,-3.7393555990786944
2970,-3.738386586731001
199,-3.721481709598947
324,-3.718516399300316
1059,-3.716245932455773
2085,-3.715154907123533
1272,-3.7144581660235696
3613,-3.70891011208888
3970,-3.6883206875552794
1709,-3.676898791612658
3802,-3.673816354498407
3711,-3.668845857635613
314,-3.665558474115835
1127,-3.664365876296472
890,-3.6514543497145127
1873,-3.6511514398793294
1795,-3.641828546736727
426,-3.640238562195173
1022,-3.6392831987007583
2328,-3.637862247100653
287,-3.636810396466269
3697,-3.635282055468617
3297,-3.629363761822672
20,-3.623925115423624
265,-3.620611950611844
558,-3.6174995941864654
2578,-3.617473510028527
914,-3.6156145523268206
80,-3.6049974516777783
23,-3.6001824173672854
3294,-3.593466444199611
261,-3.589446768295982
3874,-3.584812008667354
374,-3.584368853981652
3416,-3.575373580361717
3407,-3.575182846408491
4060,-3.57332121117233
1503,-3.5695454235856467
0,-3.5691321510264022
1630,-3.566523420539085
2442,-3.565487837140425
2965,-3.564245468975119
3514,-3.5585992257864096
3952,-3.555558067384565
1076,-3.5528514254801484
1493,-3.5424480202725586
501,-3.536181978267888
2777,-3.5343386493105
3058,-3.5310160347812847
677,-3.5293337929835
159,-3.509050903758962
3422,-3.5022780797734523
3210,-3.498253327879225
2269,-3.497597562716177
317,-3.492650114084852
754,-3.489938242037872
3670,-3.484566145470204
2776,-3.4752657974491084
809,-3.471677361105244
1687,-3.470052905542595
3074,-3.467753197746801
1954,-3.4585437223715854
690,-3.450322543404623
601,-3.4428452663680345
1154,-3.441589813262404
2613,-3.440552846900135
334,-3.437565846494627
3122,-3.432025058794639
1914,-3.4317984483232005
360,-3.42957960960193
172,-3.427284992558785
3894,-3.421290572422069
4046,-3.415143467080044
2481,-3.409860292073457
3308,-3.4082802539399246
1867,-3.4077002917720898
479,-3.406225599936181
3553,-3.3870470027319293
1180,-3.3824130660014644
986,-3.3806139465974465
1017,-3.3729725102154577
3462,-3.369693057250307
1520,-3.3688546413754907
104,-3.3660259866514823
2976,-3.3616937267640914
2774,-3.355065238859767
3701,-3.3536250079549883
775,-3.349715036788989
2720,-3.340439701028943
154,-3.3401684499331803
1246,-3.3383150580944303
1546,-3.334743253114357
3549,-3.3329458308295936
1338,-3.3327282253930965
4035,-3.332575588774857
3006,-3.3310349040124154
