index,cohen_d
756,2.4898711373252405
4016,2.4719243366604187
2412,2.249868885140577
3309,2.208404578493808
285,2.194434807135269
2292,2.1781436141652573
3383,2.16483559685642
2835,2.1281265199293427
2609,2.1271593800384574
996,2.0465333099584853
2456,2.0460690300985824
271,2.0312938967969543
2159,1.9937521407985035
2190,1.9908423536881945
3876,1.9846344593731984
842,1.975506545485052
2566,1.9683643008423344
3766,1.959677571452147
1554,1.92814115323486
3528,1.9136400321932687
2004,1.8965907614928008
3686,1.8934154680325728
2447,1.888670874396513
3251,1.871485468474838
955,1.8608853192172183
1949,1.837469292547964
2518,1.8359531460202536
2244,1.824004433435917
1530,1.7988566744213932
197,1.7829090260767435
270,1.7617651106141967
301,1.7514617682455076
2274,1.748785283414875
199,1.7484085592668126
3907,1.7462056175147105
168,1.7445177026342067
2490,1.7284642824003165
2746,1.7253636904057112
2256,1.7193018120842836
1525,1.7192352590139095
1019,1.7127001840691325
2121,1.7098562694489206
2143,1.7094023909731044
3304,1.7084999955768665
3038,1.700800835176671
3407,1.7001487319746704
1254,1.6802417060322838
2138,1.666873947400416
3291,1.6553929226158437
2199,1.6551191027830927
3144,1.6470322265124882
2632,1.6355322473937226
3203,1.6272172532700897
4032,1.6159586558672223
3319,1.6125097343867223
716,1.6122189176121573
407,1.6089038651369505
1909,1.6025889043195287
958,1.601526278941258
503,1.5892132504089391
3044,1.581957674113587
847,1.558790291646863
452,1.5526211399493333
3875,1.5518377489692985
2351,1.5410592233286935
2428,1.5347732450663565
3892,1.5272301499399576
2666,1.5241863801934008
3371,1.5085059706393775
985,1.5071470165817715
691,1.5056587190961337
1962,1.4958432112072422
907,1.4957143162656776
3807,1.495273823114099
3265,1.49313993717118
859,1.487031802742946
501,1.478866513186115
865,1.478656303088744
3645,1.4722574268458637
3152,1.4654850246342075
411,1.4392799896202813
2367,1.4352066719705578
1228,1.4314938257500525
2637,1.42342291271401
2826,1.4224753209289882
213,1.41790076006265
2971,1.4172316851558493
2831,1.4082529599567728
127,1.4036505952526206
3941,1.40197088414089
2092,1.3991142534583607
3079,1.3989195779384749
280,1.3950673576608474
1036,1.3924188988977315
750,1.3893941024066274
523,1.3884661981106396
573,1.3865992228320263
4034,1.3842230451820348
1720,1.383634579058957
1499,1.376315647226131
1419,1.3752587467038897
2562,1.372545268356261
2141,1.3665902939646004
1353,1.3642360331122254
3295,1.364004531560312
3583,1.3634722357101845
2473,1.3563672558661437
3492,1.3546454657671965
11,1.351786123218912
1476,1.3511976944468402
3602,1.349923164031069
3056,1.3479964754372495
2706,1.340883641482005
526,1.3216118723937729
2633,1.311867962140569
1653,1.3107510214202127
3999,1.3098940614442014
1395,1.3087567971991587
1040,1.2900237736989997
2346,1.283333441535458
1572,1.2797155286367652
445,1.274410157659623
3611,1.2731461658660983
157,1.2688701557247055
2005,1.2674174834311598
1200,1.26628198280297
1844,1.2657339311079867
593,1.2635322599025014
2172,1.2633978868089255
2326,1.2612056824523337
3462,1.2583920204886625
1425,1.2570823017436903
596,1.25691106392687
697,1.2545315301596454
990,1.2539711971517988
1654,1.2511445820198734
54,1.2497428636802288
3972,1.2482208982691676
579,1.2477375830901454
1978,1.2473674910387187
1946,1.2454808138679765
2568,1.2443652645332264
276,1.240346203457547
2533,1.2380361124575987
2915,1.23447374836775
3441,1.2340994132827594
1912,1.23074726146962
3757,1.2299712889821666
1348,1.2297080793441617
2113,1.2284130316461994
2399,1.222246613821355
1972,1.2183516864542137
1473,1.2176188105494283
1602,1.2176187039298936
644,1.2146030617373014
4036,1.2129035391399432
670,1.2116488398587475
3893,1.2079293602774983
543,1.2002089876777475
2795,1.1987359588277229
3458,1.196899891429421
1617,1.19452619376132
1126,1.1943166565240462
2669,1.1912475873898196
521,1.1879412392413942
832,1.1846516955882
2537,1.1826519838101712
3449,1.1819493368800271
3735,1.1815941981111515
2068,1.1777508180686316
763,1.1741843351504002
25,1.1728106488579668
2823,1.166308930018753
3670,1.1618318631905546
3704,1.161822734864494
1125,1.161088319607464
1591,1.1582464790585345
2252,1.1564434544931492
630,1.1558291678024764
3498,1.1548878418377178
792,1.150372091255509
2453,1.1487039512017188
343,1.14011338074638
3244,1.1338580603186617
807,1.1307616143968506
3486,1.1293258765833307
88,1.1270953702521287
2790,1.1257726960205237
1609,1.1236826063584304
87,1.1195319830394743
1114,1.1190106157484412
3706,1.1118826301625473
2165,1.111336072946438
3741,1.1106092147242077
3064,1.1068434020683302
2479,1.1040040873940131
2613,1.1037861516850929
234,1.0992217322724245
1267,1.0978368778146723
2820,1.097461080303725
2636,1.0971876196347854
1052,1.0962732503185686
1016,1.0956809331593969
1336,1.0954523897652853
495,1.094114766030616
2843,1.0925695597883835
1184,1.090547055520181
59,1.0855933519792884
1811,1.084273545383991
964,1.0812319625863882
1656,1.0806936523210466
312,1.077782310403684
1539,1.076432494136421
1780,1.0759674052722403
1958,1.070801082961147
680,1.065719614332309
3629,1.0655654696880248
189,1.0615766161813898
2829,1.0554630338332829
2649,1.053764785669489
253,1.0534926855533282
2802,1.0503262612295583
3178,1.047238715492665
2744,1.042472624699822
1216,1.038287761060496
427,1.0373040052889757
3367,1.036587919342547
408,1.0308576273273564
3530,1.0293419098086112
3961,1.024946207477516
582,1.0228504984505709
610,1.0198940373248235
3201,1.0198862156511952
1368,1.015106380355102
513,1.0049096828655877
3029,1.0037225389294857
1434,1.000384732710501
3753,0.9933427154218036
2472,0.9929291223128774
3848,0.9890450805805904
2683,0.986815922742684
2761,0.9841901067898416
3426,0.98184710266437
3693,0.9764670279227332
4001,0.9748716540142164
1797,0.9742931765254416
4008,0.9739185530303182
1369,0.9709030002052504
1296,0.9702358567742332
3943,0.969818668212712
2339,0.9696720612285306
3090,0.9637812165678504
2467,0.9627376026733568
965,0.9619994193055847
2276,0.9592478264573652
2454,0.9553608353230992
1511,0.953266175276546
586,0.9515152518997568
336,0.9514944503033248
1901,0.9505976002227144
3852,0.950326681081433
1990,0.947815642209774
1095,0.9405773962925108
2035,0.93937401624063
1634,0.9392080802545164
3396,0.9383213795143034
1441,0.9373373737861264
3578,0.9373360095858516
3459,0.9347869853552478
997,0.9290242308232132
1153,0.9270723918678708
1855,0.926364232747573
286,0.9250358712110656
228,0.9246185625729
1475,0.923658888274678
1146,0.9212850795643346
3341,0.9198986731615276
2665,0.9176923285543058
2865,0.9169516708916254
4077,0.9149547169485353
2220,0.9136975083844158
774,0.913210407696244
2140,0.9126127166282352
1038,0.9122040679941058
3797,0.9090779620869814
966,0.9066470272026697
1175,0.9057162713706584
1941,0.905592778197076
3968,0.9040954649259656
1265,0.9040899410317658
1776,0.9038988799511692
3226,0.9014315370231007
779,0.9013186084046216
522,0.9011456125188811
995,0.8996468826258864
3947,0.8991877454210475
3507,0.8967976681849882
1576,0.8959961413490111
953,0.8956249965200839
218,0.8940516446056731
993,0.8922563609688416
3393,0.8904044434567033
3696,0.8881138462573226
899,0.8838815909098074
803,0.8829631765810638
354,0.8814734366707417
1263,0.8803410201461289
1383,0.8793795599709815
3063,0.8769345383564354
3699,0.8761971026578607
306,0.8761381567579519
1860,0.8755378900988592
