Avg (-1),Avg (1),Difference
0.028816037,0.034585983,0.0057699457
0.028888639,0.008413833,-0.020474806
0.004058572,0.0009997379,-0.003058834
0.0015880432,3.811309e-05,-0.0015499301
0.0013141964,6.319465e-05,-0.0012510017
0.049231324,0.059815027,0.0105837025
0.013806386,0.028006049,0.014199663
0.026017876,0.021953583,-0.0040642936
0.015442147,0.0018807533,-0.013561394
0.0010806477,6.347055e-05,-0.0010171771
0.06295347,0.013210356,-0.049743116
0.0030544077,1.1609811e-05,-0.0030427978
0.058957867,0.040070668,-0.0188872
0.0007090843,6.279153e-06,-0.0007028052
0.4673331,0.2787763,-0.18855682
0.0049817623,0.0003105213,-0.004671241
0.0048723267,0.0009543851,-0.003917942
0.0037573604,0.00047015067,-0.0032872097
0.002123027,4.9383798e-05,-0.0020736433
0.009846823,0.003679095,-0.0061677285
0.0018416055,0.0010532333,-0.00078837224
0.0025316228,2.787956e-05,-0.0025037432
0.0035706982,0.0004894036,-0.0030812947
0.007135437,0.002203545,-0.004931892
0.0008461154,4.2047236e-06,-0.00084191066
0.09630401,0.124221675,0.027917668
0.00042131502,3.3011665e-06,-0.00041801386
0.0012402921,0.00044936797,-0.0007909241
0.0046512433,0.003526138,-0.0011251054
0.00071208295,3.4187992e-06,-0.0007086641
0.0033201862,0.00026573217,-0.003054454
0.116509095,0.04249416,-0.07401493
0.0004086188,7.189237e-05,-0.00033672643
0.01478509,0.0011540919,-0.013630998
0.003205221,5.2590985e-05,-0.0031526298
0.0031523649,0.00051303086,-0.002639334
0.0017683188,8.7971384e-05,-0.0016803475
0.036443125,0.011925218,-0.024517909
0.00044584143,0.00024949014,-0.00019635129
0.011817021,0.012647866,0.000830845
0.001261971,7.77157e-05,-0.0011842552
0.25701654,0.32118082,0.06416428
0.00014325984,2.1281323e-05,-0.00012197851
0.039112043,0.0147192255,-0.024392817
0.00027932003,4.6582068e-06,-0.0002746618
0.0038260866,5.0100567e-05,-0.0037759861
1.830554e-05,2.100429e-06,-1.6205111e-05
0.0037952878,0.0002453065,-0.0035499814
0.003979331,0.0014870511,-0.0024922797
0.0020828112,0.0010435461,-0.0010392651
0.00061891775,2.6747774e-05,-0.00059217
0.0035608087,0.00021597053,-0.0033448383
0.0020098551,0.00080645434,-0.0012034008
0.046956405,0.14904374,0.102087334
0.0038230824,0.0005276896,-0.0032953927
0.034453984,0.020266399,-0.014187586
0.00198357,6.01029e-05,-0.001923467
2.4495483e-05,2.0294347e-05,-4.201136e-06
0.0006764328,4.1024978e-06,-0.0006723303
0.005559541,1.6729766e-05,-0.005542811
0.0011722366,1.3285605e-05,-0.0011589511
0.0011685622,0.00014503431,-0.0010235279
0.0109330965,0.0064384914,-0.004494605
0.008627489,0.00085336337,-0.007774126
0.0048735477,0.0005674794,-0.004306068
0.002241636,2.1266056e-05,-0.0022203699
0.0034723831,5.191148e-05,-0.0034204717
0.013066017,0.00046957145,-0.012596445
0.00013530343,2.3510082e-05,-0.00011179335
0.00296975,1.9550022e-05,-0.0029501999
0.007281584,0.0037276943,-0.00355389
0.00797326,0.007947325,-2.5935471e-05
0.00458261,0.0018531418,-0.002729468
0.005675002,0.0007338837,-0.0049411184
0.0026722052,0.0006955072,-0.001976698
0.005734284,0.0003702014,-0.0053640828
0.010425111,0.0025251417,-0.00789997
0.0036600488,1.3542507e-06,-0.0036586947
0.09600785,0.11955988,0.02355203
0.00060995226,5.101672e-05,-0.0005589355
0.048879918,0.012189138,-0.03669078
0.0028469155,0.00025357172,-0.0025933438
0.00018835129,5.4550793e-07,-0.00018780578
0.0024645035,0.0004883885,-0.001976115
0.008578707,0.019048877,0.01047017
0.07576484,0.021170584,-0.054594256
0.011246853,0.00045795873,-0.010788894
0.017267095,0.0033352869,-0.013931808
0.0026987381,0.0012036674,-0.0014950708
0.112154216,0.112789966,0.0006357506
0.011260709,0.0047488078,-0.006511901
0.106961794,0.10166104,-0.005300753
0.0055820523,9.107931e-06,-0.0055729444
0.31679422,0.09752788,-0.21926634
0.022817848,0.002595985,-0.020221863
0.0567718,0.012434822,-0.04433698
0.0038962408,0.0003552523,-0.0035409885
0.038544275,0.008697009,-0.029847266
0.0050960085,0.00022299982,-0.004873009
0.0013939922,0.00011556613,-0.001278426
0.0050141034,0.00021702395,-0.0047970796
0.028363513,0.0043088146,-0.024054699
