,cohen_d
0,0.08502911859974477
1,-0.45245277741891066
2,-0.527783789411165
3,0.5426571007529863
4,-0.1888719728432501
5,0.07903749592253517
6,0.1257000279761487
7,-1.185457100639832
8,0.5101004134507675
9,-0.03563626074021674
10,-0.26534919695047976
11,-0.005565367937226459
12,-0.370116088969042
13,-2.0510811938586104
14,-1.1243037098867363
15,-0.11129267753199268
16,-0.2317609784718285
17,-0.09898247479651343
18,0.002343229901354271
19,0.007363673723564851
20,-0.7147622660546191
21,0.06132938939551616
22,-0.7324509484884089
23,-0.14056974446708242
24,-0.5117996599813319
25,-0.06109348024577556
26,-0.8531348994106825
27,-1.0078279499669687
28,0.5052097227783146
29,0.4433128645585298
30,-0.3997470279742578
31,0.3212605202720972
32,-1.501496629480675
33,0.17079273350726237
34,-0.36861666260739107
35,-0.18802081495114625
36,-0.5480007641036958
37,-0.9279611620019721
38,0.6620964664871052
39,0.404679371892014
40,-0.4256355580647658
41,0.6305701906827678
42,0.22654998772347654
43,-1.3128725644459793
44,-0.35286837150487377
45,-0.1468306033457592
46,-0.19399013953033442
47,-0.5319992277635344
48,-0.10760272316531289
49,-1.5267183418687704
50,0.34595611232634993
51,0.10404022857390453
52,-0.2913156454387929
53,-0.004693123489923746
54,-0.7495969931796703
55,-1.284917882092153
56,0.27919811555655
57,0.5196652064459157
58,-0.6131053702021473
59,0.1340298545528695
60,-0.0999974494822897
61,-0.3207386840019471
62,-0.0866810320029971
63,0.4568378193829575
64,-0.5718023848050615
65,0.14343118363267765
66,-0.5844692360455938
67,0.27790322022632113
68,-0.8074291773877422
69,-0.19716412874742112
70,-0.1333269246785732
71,-0.7181311141018881
72,0.4290732427419279
73,0.24562100352590616
74,0.12243696256956978
75,0.12550999866026996
76,-0.39692142618545617
77,-0.9962491320525659
78,-1.0207352715477895
79,-0.5792009076163038
80,-0.22355147753985455
81,-0.29143064893355064
82,-0.08130614032079785
83,-1.3102847901558807
84,-0.006304535840102649
85,-0.2248028597082157
86,0.20987995890571295
87,-0.22478987983268728
88,-0.10773689685741357
89,-0.11311923642312396
90,-0.07513791243830925
91,-0.13293308628504422
92,-0.20045612203702917
93,0.13133429938520888
94,-0.8626213525928892
95,0.1521347945325207
96,-0.6074955599683634
97,-0.2641789142599848
98,-0.5130476091469972
99,-0.0024283585710494038
100,0.3226569371516246
101,-0.11394785019424862
102,-0.45731566430057213
103,-0.8190405627777964
104,0.4401485037847969
105,0.24550359148948941
106,-1.5659797905708979
107,-0.21973431854727035
108,-0.4295758458268383
109,-1.155041250484131
110,-1.520516137902943
111,-0.06605091580996889
112,0.062118569028571505
113,0.6486779812281946
114,-0.9101066093501831
115,0.5701714608066532
116,-0.5807690544110519
117,-1.0871719640031132
118,-0.030589356206643378
119,-0.557137655790702
120,-0.4977241957148653
121,-0.2747912550092109
122,-0.91712622229028
123,0.06020948974983714
124,-0.06851187466177366
125,-0.5548435582771695
126,-1.4794436430262352
127,-0.17122828466590276
128,-0.20696669895695913
129,-0.4222039777043662
130,-1.1165568972360644
131,0.5012850202955433
132,0.0334233834197725
133,-0.0523271206315228
134,-0.0396575169867428
135,0.37312267363871227
136,-0.30938419833887026
137,-1.0384935134523126
138,0.5493873830195878
139,-0.042980353915243054
140,0.14585655412185397
141,-0.26281003911371364
142,0.2821240897699017
143,-0.49777932840846306
144,-0.07846021915007154
145,-0.6535693653331779
146,-0.05415235917189642
147,-1.5865647237629044
148,-0.2606651228226666
149,-0.13558536961279818
150,0.060260270901012325
151,-0.33256546674688303
152,-0.2706276166649421
153,-0.705030969272694
154,-0.1534034628427786
155,-0.1883203006927121
156,-1.0357478172511927
157,-0.14351389936865397
158,-0.066408984617806
159,-0.299662733981136
160,-0.2497733121979148
161,0.030390686063112213
162,0.2958334916695383
163,-0.1120660974328186
164,2.0201857972306714
165,-0.021853410898316574
166,-1.0519862572666758
167,-0.44680597703811104
168,-0.4996095052209763
169,0.4185849964389389
170,0.18353646784924035
171,-0.13734151227935434
172,-0.2571680508160587
173,-0.6928712207030158
174,-0.0699875720661179
175,-0.571403745537781
176,-1.2287022118792277
177,0.43681059959332275
178,-0.5336035616263494
179,-1.4947472467184257
180,-0.9333511211500746
181,0.5205887896611332
182,0.01028417356328657
183,-0.05871545486127881
184,0.13125884763856513
185,0.25272044514770203
186,0.1099673757695064
187,-0.41527861955809375
188,-0.4395556278386246
189,0.061101179609032476
190,-2.232003288134338
191,0.2458161531547551
192,0.27155899852132054
193,-1.3299574629777364
